geometry,n,CV,L_m,sigma_rep,cv_real,logvar_real,logsd_real,l_star
open_path,1,0.5,100.0,0.04135813406996896,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
open_path,1,0.5,250.0,0.05512502582930202,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
open_path,1,0.5,500.0,0.1111244122013707,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
open_path,1,1.0,100.0,0.0789666972900636,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
open_path,1,1.0,250.0,0.09871040931156216,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
open_path,1,1.0,500.0,0.2047967729491102,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
open_path,1,2.0,100.0,0.14993073662774678,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
open_path,1,2.0,250.0,0.16365483413508958,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
open_path,1,2.0,500.0,0.3221031180434295,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
open_path,2,0.5,100.0,0.04124004803444539,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
open_path,2,0.5,250.0,0.05423049071807748,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
open_path,2,0.5,500.0,0.1089032158283507,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
open_path,2,1.0,100.0,0.07827546910228585,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
open_path,2,1.0,250.0,0.09657013630065117,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
open_path,2,1.0,500.0,0.20115820418617594,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
open_path,2,2.0,100.0,0.15058361166416967,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
open_path,2,2.0,250.0,0.16186359661669844,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
open_path,2,2.0,500.0,0.3170197932994567,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
open_path,3,0.5,100.0,0.039378414108137985,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
open_path,3,0.5,250.0,0.0530903526048477,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
open_path,3,0.5,500.0,0.1048946553797299,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
open_path,3,1.0,100.0,0.07555339813859219,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
open_path,3,1.0,250.0,0.0948257781219589,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
open_path,3,1.0,500.0,0.19291872049144718,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
open_path,3,2.0,100.0,0.14589717021227608,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
open_path,3,2.0,250.0,0.1585785267732181,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
open_path,3,2.0,500.0,0.3026441589375902,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
open_path,4,0.5,100.0,0.03994314365516002,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
open_path,4,0.5,250.0,0.052988470990724776,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
open_path,4,0.5,500.0,0.10576281939012558,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
open_path,4,1.0,100.0,0.07504714665311925,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
open_path,4,1.0,250.0,0.0929626825997752,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
open_path,4,1.0,500.0,0.19471181942732055,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
open_path,4,2.0,100.0,0.14435194760417427,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
open_path,4,2.0,250.0,0.15463860430482276,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
open_path,4,2.0,500.0,0.30569430984332885,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
point,1,0.5,100.0,0.08605812244778087,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
point,1,0.5,250.0,0.09704199572490924,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
point,1,0.5,500.0,0.16423793925052993,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
point,1,1.0,100.0,0.1573296759172106,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
point,1,1.0,250.0,0.17517057346233597,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
point,1,1.0,500.0,0.30448622121109226,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
point,1,2.0,100.0,0.26749657744244754,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
point,1,2.0,250.0,0.27676408576224537,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
